country,node,bus,profile_type,name,total_load__mwh,carrier,year
KG,KG_TL,KG_TL_IND-LH,IND_LOAD,KG_TL_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KG,KG_TL,KG_TL_IND-HH,IND_LOAD,KG_TL_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KG,KG_TL,KG_TL_IND-LH,IND_LOAD,KG_TL_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KG,KG_TL,KG_TL_IND-HH,IND_LOAD,KG_TL_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KG,KG_TL,KG_TL_IND-LH,IND_LOAD,KG_TL_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KG,KG_TL,KG_TL_IND-HH,IND_LOAD,KG_TL_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
KG,KG_YK,KG_YK_IND-LH,IND_LOAD,KG_YK_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KG,KG_YK,KG_YK_IND-HH,IND_LOAD,KG_YK_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KG,KG_YK,KG_YK_IND-LH,IND_LOAD,KG_YK_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KG,KG_YK,KG_YK_IND-HH,IND_LOAD,KG_YK_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KG,KG_YK,KG_YK_IND-LH,IND_LOAD,KG_YK_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KG,KG_YK,KG_YK_IND-HH,IND_LOAD,KG_YK_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
KZ,KZ_NR,KZ_NR_IND-LH,IND_LOAD,KZ_NR_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KZ,KZ_NR,KZ_NR_IND-HH,IND_LOAD,KZ_NR_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KZ,KZ_NR,KZ_NR_IND-LH,IND_LOAD,KZ_NR_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KZ,KZ_NR,KZ_NR_IND-HH,IND_LOAD,KZ_NR_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KZ,KZ_NR,KZ_NR_IND-LH,IND_LOAD,KZ_NR_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KZ,KZ_NR,KZ_NR_IND-HH,IND_LOAD,KZ_NR_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
KZ,KZ_SO,KZ_SO_IND-LH,IND_LOAD,KZ_SO_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KZ,KZ_SO,KZ_SO_IND-HH,IND_LOAD,KZ_SO_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KZ,KZ_SO,KZ_SO_IND-LH,IND_LOAD,KZ_SO_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KZ,KZ_SO,KZ_SO_IND-HH,IND_LOAD,KZ_SO_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KZ,KZ_SO,KZ_SO_IND-LH,IND_LOAD,KZ_SO_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KZ,KZ_SO,KZ_SO_IND-HH,IND_LOAD,KZ_SO_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
KZ,KZ_WS,KZ_WS_IND-LH,IND_LOAD,KZ_WS_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KZ,KZ_WS,KZ_WS_IND-HH,IND_LOAD,KZ_WS_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KZ,KZ_WS,KZ_WS_IND-LH,IND_LOAD,KZ_WS_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KZ,KZ_WS,KZ_WS_IND-HH,IND_LOAD,KZ_WS_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KZ,KZ_WS,KZ_WS_IND-LH,IND_LOAD,KZ_WS_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KZ,KZ_WS,KZ_WS_IND-HH,IND_LOAD,KZ_WS_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
UZ,UZ_UZ,UZ_UZ_IND-LH,IND_LOAD,UZ_UZ_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
UZ,UZ_UZ,UZ_UZ_IND-HH,IND_LOAD,UZ_UZ_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
UZ,UZ_UZ,UZ_UZ_IND-LH,IND_LOAD,UZ_UZ_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
UZ,UZ_UZ,UZ_UZ_IND-HH,IND_LOAD,UZ_UZ_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
UZ,UZ_UZ,UZ_UZ_IND-LH,IND_LOAD,UZ_UZ_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
UZ,UZ_UZ,UZ_UZ_IND-HH,IND_LOAD,UZ_UZ_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
